,github_id,name,category,pypi_id,labels,homepage,dependent_project_count,github_dependent_project_count,contributor_count,github_url,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,pypi_url,license,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,show,projectrank_placing,trending
10,scikit-hep/ragged,ragged,utility,ragged,,https://github.com/scikit-hep/ragged,67.0,63.0,5,https://github.com/scikit-hep/ragged,2023-12-26 10:53:35.000,2026-06-03 06:37:02,18,8.0,,48,Manipulating ragged arrays in an Array API compliant way.,https://pypi.org/project/ragged,BSD-3-Clause,2026-06-03 06:31:24,2026-06-03 06:31:24.000,0.3.0,4.0,4.0,27979.0,27979.0,True,2,
11,wilsonrljr/sysidentpy,SysIdentPy,ml,sysidentpy,,https://github.com/wilsonrljr/sysidentpy,34.0,29.0,22,https://github.com/wilsonrljr/sysidentpy,2019-03-13 19:15:59.000,2026-06-13 02:30:29,16,101.0,12.0,511,A Python Package For System Identification Using NARMAX Models.,https://pypi.org/project/sysidentpy,BSD-3-Clause,2026-06-13 02:30:29,2026-06-13 02:30:29.000,0.9.0,30.0,5.0,,,True,3,-8.0
12,data-apis/array-api-extra,array-api-extra,core,array-api-extra,,https://github.com/data-apis/array-api-extra,73.0,41.0,24,https://github.com/data-apis/array-api-extra,2024-09-24 20:29:02.639,2026-06-10 09:56:03,16,21.0,52.0,29,Extra array functions built on top of the array API standard.,https://pypi.org/project/array-api-extra,MIT,2026-06-10 09:56:03,2026-06-10 09:56:03.000,0.11.0,24.0,32.0,,,True,2,-10.0
13,Quantco/ndonnx,ndonnx,backend,ndonnx,['noncpu'],https://github.com/Quantco/ndonnx,38.0,30.0,26,https://github.com/Quantco/ndonnx,2024-08-09 10:41:30.852,2026-06-16 17:03:48,14,3.0,6.0,67,ONNX-backed array library that is compliant with the Array API standard.,https://pypi.org/project/ndonnx,BSD-3-Clause,2026-06-16 17:03:48,2026-06-16 17:03:48.000,0.20.0,27.0,8.0,,,True,3,
14,data-apis/array-api-strict,array-api-strict,core,array-api-strict,,https://github.com/data-apis/array-api-strict,38.0,,33,https://github.com/data-apis/array-api-strict,2024-04-02 20:30:20.359,2026-07-09 10:29:04,14,13.0,10.0,32,Strict implementation of the Python array API (previously numpy.array_api).,https://pypi.org/project/array-api-strict,,2026-07-09 10:29:04,2025-07-27 07:51:22.000,2.4.1,16.0,38.0,,,True,3,
15,34j/types-array-api,types-array-api,typing,types-array-api,,https://github.com/34j/types-array-api,18.0,,3,https://github.com/34j/types-array-api,2024-12-01 06:13:11.147,2026-07-22 16:10:35,13,1.0,3.0,7,Autogenerated types for array-api-compat and array API - IDE friendly. `pip install types-array-api` and ready to go!.,https://pypi.org/project/types-array-api,Apache-2.0,2026-02-28 02:38:21,2026-02-28 02:38:21.000,1.3.0,8.0,18.0,,,True,1,
16,data-apis/array-api,Array API standard,definition,,,https://github.com/data-apis/array-api,4.0,4.0,38,https://github.com/data-apis/array-api,2020-05-10 15:44:24.000,2025-12-08 07:01:18,11,54.0,93.0,262,"RFC document, tooling and other content related to the array API standard.",,MIT,,,,,,,,True,1,
17,mdhaber/marray,marray,utility,marray,,https://github.com/mdhaber/marray,3.0,3.0,4,https://github.com/mdhaber/marray,2024-06-05 00:05:30.630,2026-07-06 07:34:55,11,3.0,21.0,33,Masked versions of array API compatible arrays.,https://pypi.org/project/marray,MIT,2025-09-18 03:38:47,2025-09-18 03:38:47.000,0.0.12,12.0,,,,True,3,
18,34j/numpy-flint-arb,numpy-flint-arb,backend,numpy-flint-arb,"['verified', 'multiprec']",https://github.com/34j/numpy-flint-arb,,,3,https://github.com/34j/numpy-flint-arb,2025-12-11 06:27:06.773,2026-07-22 14:02:21,10,,3.0,1,Arbitrary precision floating / ball arithmetic (interval arithmetic) dtype in NumPy / array API.,https://pypi.org/project/numpy-flint-arb,MIT,2026-06-26 07:00:27,2026-06-26 07:00:27.000,1.5.3,9.0,,319.0,319.0,True,3,
19,34j/array-api-negative-index,array-api-negative-index,utility,array-api-negative-index,,https://github.com/34j/array-api-negative-index,,,3,https://github.com/34j/array-api-negative-index,2025-08-21 19:31:55.646,2026-07-22 09:48:00,10,,5.0,1,"Utils for indexing arrays with {-n, -(n-1), ..., -1, 0, 1, ..., n-1, n} using array API.",https://pypi.org/project/array-api-negative-index,MIT,2025-08-23 09:33:48,2025-08-23 09:33:48.000,1.0.0,3.0,,2079.0,2079.0,True,3,
20,data-apis/array-api-tests,array-api-tests,core,,,https://github.com/data-apis/array-api-tests,,,20,https://github.com/data-apis/array-api-tests,2020-08-28 21:19:58.000,2025-12-02 16:53:47,8,47.0,56.0,69,Test suite for Python array API standard compliance.,,MIT,,,,,,,,True,3,
21,quantity-dev/quantity-array,quantity-array,utility,quantity-array,,https://github.com/quantity-dev/quantity-array,,,5,https://github.com/quantity-dev/quantity-array,2025-01-19 13:48:01.199,2025-01-19 13:47:39,7,2.0,13.0,3,Quantities with array API standard arrays.,https://pypi.org/project/quantity-array,MIT,2025-01-19 13:47:39,2025-01-19 13:47:39.000,0.0.1,1.0,,38.0,38.0,False,3,
22,mdhaber/mparray,mparray,backend,mparray,"['verified', 'multiprec']",https://github.com/mdhaber/mparray,,,5,https://github.com/mdhaber/mparray,2025-01-05 20:30:51.508,2026-03-17 19:19:17,6,3.0,12.0,6,Array API compliant arrays of arbitrary precision types.,https://pypi.org/project/mparray,MIT,,,,,,,,True,3,
